"LH_RowNumber","AnimalCode","AnimalName","OtherID"
686,"Zuni","Zuni","Fleshy"
687,"Hole","Holey",NA
688,"PointyEars","PointyEars",NA
689,"Eto","Etosha",NA
690,"Apa","Apa",NA
691,"Mom","Momo",NA
692,"BigEars","BigEars",NA
693,"Plainjane","PlainJane","Kap"
694,"BDia21","Baby Dian 2021",NA
695,"BPre21","Baby Pret 2021",NA
696,"Nul","Nul",NA
697,"BOul21","Baby Ouli 2021",NA
698,"Amst","Amstel",NA
699,"Nuk","Nukke",NA
700,"Pie","Piesang",NA
701,"BCam11","Baby Cam 2011",NA
702,"BDai19","Baby Daisy 2019",NA
703,NA,"Bug Eyes",NA
704,"Col","Collin",NA
705,"Ferg","Fergie",NA
706,NA,"Gollum",NA
707,NA,"Gosh",NA
708,NA,"Heart",NA
709,"Imp","Imposter","Lennon Imposter"
710,"Jama","Jamaica",NA
711,"Kur","Kurt Cubain",NA
712,NA,"Little Notch",NA
713,"Mado","Madonna",NA
714,NA,"Nostrils",NA
715,"Pit","Pitcairn",NA
716,"Red","Red Hot",NA
717,NA,"SF2",NA
718,NA,"Small Eyes",NA
719,"Tasmania","Tasmania",NA
720,"Wier","Wierdo",NA
722,"Ndl","Ndlovu",NA
723,"Nko","Nkomo",NA
724,"Gom","Gomonqo",NA
725,"Gobe","Gobela",NA
726,"Nyal","Nyala",NA
727,"BNda21","Baby Ndaw 2021",NA
728,"Ask","Askies",NA
729,"Padk","Padkos",NA
730,"Eie","Eier",NA
731,"Haai","Haaigranaat",NA
732,"Hem","Hemel",NA
733,"Ome","Omelet",NA
734,"Pur","Purper",NA
735,"Noo","Nooit",NA
736,"Sla","Slang",NA
737,"Reno","Renoster",NA
738,"Rimp","Rimpel",NA
739,"Samp","Sampion",NA
740,"Sitr","Sitrus",NA
741,"Misk","Miskien",NA
742,"Spe","Spek",NA
743,"BOer21","Baby Oerw 2021",NA
744,"Griv","Grive",NA
745,"Gale","Galeria",NA
746,"BGua21","Baby Guat 2021",NA
747,"Xih","Xihau",NA
748,"Xar","Xarès",NA
749,"Bet","Bethlehem",NA
750,"Utic","Utica",NA
751,"Riva","Rivas",NA
752,"Rafa","Rafaela",NA
754,"Bou","Bougainville","Goldie"
754,"Yam","Yamp","Baby Yuko 2021;Yamp"
755,"Yodo","Yodo","Yaq"
756,"Mon","Montreal",NA
757,"Gas","Gasket",NA
758,"BBDod21","Baby DodgyKnee 2021",NA
759,"BBKodi21","Baby Kodi 2021",NA
760,"Tik","Tiki",NA
761,"BBFZuni21","Baby Zuni  2021","Baby Fleshy 2021"
762,"BBGoo21","Baby Goose 2021","Baby CrazeyEyes 2021"
763,"Baha","Bahamas",NA
764,"Nihi","Nihiru",NA
765,"Clar","Clarence",NA
766,"Barr","Barry",NA
767,"Nora","Nora",NA
768,"Dis","Disco",NA
769,"Dani","Danielle",NA
770,"Del","Delux",NA
771,"BBDew21","Baby Dewe 2021",NA
772,"Der","Derrick",NA
773,"Dail","Daila",NA
774,"Lola","Lola",NA
775,"Luc","Lucifer",NA
776,"Yub","Yub","Yuk;Yuki"
777,"Elba","Elbar",NA
