"AnimalID","From","To","Group","Source","NatalGroup","GroupNB"
"Ertjies",2011-04-07,2012-04-26,"BD","Natal_NoDOB_Emi","Yes",1
"Ertjies",2012-04-26,2015-12-11,"NH","Immigrants1_ImmiDate","No",2
"Etosha",2021-06-02,2021-12-10,"KB","Immigrants1_ImmiDate","No",1
"Evanescence",2011-11-01,2011-11-25,"RC","Natal_NoDOB_Disappeared","Yes",1
"Everest",2015-11-14,2015-12-07,"RL","Natal_NoDOB_Disappeared","Yes",1
"Faroe",2014-10-28,2016-01-30,"CR","Natal_DOB_Disappeared","Yes",1
"Feekie",2010-11-10,2012-11-13,"BD","Natal_NoDOB_Emi","Yes",1
"Feekie",2012-11-13,2013-02-01,"InBetweeners","Immigrants1_NoImmiDate_Natal","No",2
"Feniks",2017-09-01,2020-01-10,"BD","Immigrants1_ImmiDate","No",1
"Fiji",2018-04-12,2018-07-20,"CR","Natal_NoDOB_Disappeared","Yes",1
"Flatty",2015-01-06,2017-04-24,"CR","Natal_NoDOB_Disappeared","Yes",1
"Flensburg",2020-07-31,2021-11-04,"NH","Immigrants1_ImmiDate","No",1
"Flensburg",2022-01-18,2022-11-17,"NH","Immigrants2_ImmiDate_ToAdd","No",2
"Fluister",2019-04-30,2022-11-17,"BD","Immigrants1_ImmiDate","No",1
"Foei",2010-11-09,2011-04-19,"BD","Natal_NoDOB_Disappeared","Yes",1
"Formentera",2014-10-28,2017-01-12,"CR","Natal_NoDOB_Splinter","Yes",1
"Formintira",2022-06-11,2022-11-17,"CR","Immigrants1_ImmiDate","No",1
